"RW:avgAct_d"	"RW:avgAct_n"	"RW:avgWak_d"	"RW:avgWak_n"	"RW:slpBout_d"	"RW:slpBout_n"	"RW:slpLtcy_d"	"RW:slpLtcy_n"	"RW:slpLen_d"	"RW:slpLen_n"	"RW:slp_d"	"RW:slp_n"	"On:mean:STIM"	"On:mean:POST"	"On:mean:STIM1"	"On:mean:POST1"	"On:mean:STIM-POST"	"On:mean:STIM5"	"Off:mean:STIM"	"Off:mean:POST"	"Off:mean:STIM1"	"Off:mean:POST1"	"Off:mean:STIM-POST"	"Off:mean:STIM5"
"Clindamycin·HCl"	0.113655597350634	0.586466408378206	0.0691474845342047	0.303290966073863	0.473802442517252	0.624503741928674	0.168995865774896	-0.204961294931729	-0.54845795138066	-0.570955860458384	-0.0543677938508162	-0.527183047438766	0.047646659615702	-0.0849117388700873	0.290973621912675	0.231493879076183	0.0565751693056749	-0.457003679774714	-0.0414578513914721	-0.171948588051758	0.513554381701781	-0.414809568043791	0.0235015475363728	0.236005629286371
"Pimozide"	-1.46470538235424	-1.70969016662034	-0.572974370686158	-1.59555890347911	-1.54994613560886	-1.72467732688805	-0.974320378491014	-1.20863349489712	1.44877910613828	1.47473774380754	1.73063445055376	1.75818990428439	0.519917290317499	0.966868695803402	0.53448313467907	1.08574287509208	0.316857351729372	0.422839842420636	0.316338105269364	0.644655653209696	0.591511183143551	0.704679746857038	0.0752342518669773	-0.00262781777982724
"Flecainide Acetate"	-0.791256847415315	-0.470843535564685	-0.265156500590817	0.472324875974776	0.386226253031205	-1.25784431820741	0.189204212192651	-0.179479483936359	0.440271400418563	1.20908971466711	1.01374283030868	1.0502914145868	0.0684500828316647	0.536017358659941	-0.0167027496915227	0.153751691834885	-0.0926717827424051	0.292725880267464	-0.187148486509855	0.235031810617183	-0.351649237113328	-0.0165391666751007	-0.42530740163047	-0.102515553734919
"(S)-Timolol Maleate"	-0.906247653668368	-0.795860175893652	-0.857225218510523	-0.64626793981939	0.261079000085687	-0.494388256092409	-6.86392638025597e-17	-0.213760060684454	0.408014551207458	0.59880919821966	0.791984392425309	0.615034513095253	-0.158177921897994	0.567817067662137	-0.195237185494843	0.400927372900991	-0.232572835460662	-0.159709019310671	-0.345498383282892	-0.480815602469331	0.576887145588766	-0.47984992401633	-0.264089770093042	-0.1626556249404
"Ivermectin"	-1.57207960068166	-1.79964703142149	-0.523344059289646	-1.91076373240494	-1.7860875216733	-1.91468435855785	-1.07431663922337	-1.70611093150744	1.84654022511649	NA	1.84246137983496	1.83415580138277	-0.835600232485284	-1.39139804338966	-0.754745156095782	-1.26525482418846	-0.74138525320301	-0.480636588053123	-1.00120992179765	-0.859562971313155	-1.0975266627729	-0.901400873406592	-1.04024234941035	-0.793716006820364
"Aminophylline"	-0.63584024345364	-0.336603561559869	-0.292662072812993	-0.1190969933108	0.136189135296459	-0.0540005379419509	0.124354000843452	-0.830868412268178	0.432802840302527	0.372386661207428	0.697956280063156	0.385042402940585	0.216631753661151	0.55892902376942	0.0506767616556913	0.312003002764387	0.166183230012835	-0.443902043557084	0.336177724221927	0.595618468142837	0.578832822857644	0.491700250162248	0.130532447130515	-0.0277241170222158
"Promethazine·HCl"	-0.784191733342979	-0.427584599644267	-1.30501171365447	-0.617545270037408	1.26985096214837	0.0275199650331285	0.596154336267523	-1.48328703317546	-1.27560592891263	0.64415552663705	-0.844520884173968	0.721709104556629	0.783140776723802	0.365106117212666	0.521337161213359	0.237642132671889	0.789923531169162	0.968128322902451	-0.433471421921834	-0.437108523902613	-0.0750399624728638	-0.0257427713830078	-0.409594659602582	-0.675542314913529
"Famotidine"	0.130511015976344	-0.635566529510903	0.0525672784850904	-0.52670974007868	0.615118142385655	-0.0600026994275798	0.168508343201145	-1.12098826437539	-0.0288580728193107	0.0489102322391632	0.169651022703342	0.560520013863351	-0.0853012808469253	0.215868300788726	-0.287956400674055	0.669182863694442	-0.129092820247485	-0.208525816520989	-0.271870328294739	-0.0476866990987239	-0.00196142475101959	0.140950322338931	-0.311986629801278	-0.685810935112467
"Felbamate"	-0.67775190076452	-0.810339379188568	-0.627956494906236	-0.475361749122399	0.768569561207094	-0.0345784205148729	0.568897158560499	-0.979795897113271	-0.0512114817470378	0.125459834364018	0.54031964460818	0.521192065995792	0.159456631845055	0.406995177969292	-0.277298681735753	0.565014726148532	0.0364927047129	0.0165454181848126	-0.389106391334349	-0.0932273067257391	-0.362649243466356	-0.563503413617937	-0.446750248331667	-0.129495837551444
"Loperamide·HCl"	-0.885102173975255	-1.04866301277338	-0.168353289684687	-0.0878713873075651	1.11897018922411	-0.273633157531427	0.574360699970122	-1.1128147063867	-0.245634742178825	0.615910705549626	0.746161872035016	1.25277538389012	0.216041183253464	1.25466507875677	-0.184502012045288	1.45863041803268	-0.0297684383510185	-0.0491473187182991	0.272003792880502	0.491178881196089	0.4660538969273	0.90182178596796	0.208778805403655	-0.0309828639341525
"Rosiglitazone"	0.160126381551578	0.193921459622112	-0.290716456939625	0.392161371022338	1.21229598454409	-0.201288616859611	-0.158286026644606	-1.57490927414417	0.270394688327845	0.379104408202773	-0.0703965399017819	0.180366235278655	1.10159529188142	1.26781348603064	0.38032878916597	1.37822585031333	0.895232138454174	0.771418208137207	-0.176828156365951	0.182891284107969	0.0236551331251642	0.59191139783347	-0.24375735571396	-0.685810935112467
"Salbutamol Hemisulfate"	-0.278050669913265	-0.588784950487919	-0.626429838492187	-0.0998063387510925	1.01993752242038	-0.191194120211026	0.31744466938551	-0.501821499657247	-0.701376918343362	0.278787484181315	0.14353241763557	0.638942447803898	-0.41615722014316	0.00311207789528088	-0.504587234256011	0.734479124559957	-0.46107856654142	-0.408248290463863	-0.398684363668051	-0.310070709704443	-0.111042061022169	-0.109345375873073	-0.398452867205497	-0.243017312885576
"Haloperidol"	-1.18513004752373	-1.46813250935814	-0.68354725409708	-1.74223650065316	-0.762552767471903	-1.37360685293922	-0.474858079933817	-1.54314589705999	1.31133368029461	1.83360635510333	1.3551682922134	1.39827678857915	1.02713758489734	0.65431352026922	1.0467465419746	0.718040765226611	0.918873547152422	0.529743989539899	0.28775250387805	0.658951249395664	0.551116876407841	0.537678741882621	0.183410884453711	0.432237133101854
"Nateglinide"	0.818244667107992	1.03391836664599	0.296432433409289	-0.0145848297230136	0.341741125366151	1.07286992032414	0.602625833114415	0.210446069430244	-0.758895947860684	-1.12695579407388	-0.517842517514473	-1.18329931397369	0.617480850152374	0.466274570655783	0.336354199949187	0.664655855760095	0.588144246783638	0.256887777904402	0.115571133584325	0.436951672858385	0.201454739809995	0.32976703734588	0.016578711442646	-0.0172087333514042
"Spectinomycin·2HCl Pentahydrate"	0.545671609636191	0.135628903558342	0.972226900593321	0.533025471412255	-0.809060557888353	0.146587479933848	0.0373558792670068	0.297980495061886	0.556856725215375	0.169973462342656	0.194238117528575	0.0659807611873212	0.725815709210381	0.811525686296327	0.553731444433157	0.693191431415499	0.640904631440709	0.37438314329619	0.196026707503892	0.356133023701321	0.447505355375729	0.183128565285257	0.110075878649638	0.402029231962926
"Phenytoin"	-0.102338878996759	-0.272268673470475	0.471355073640953	-0.314959871321496	-0.257131496975751	0.422854865844226	-0.718292169721127	0.374796361646672	0.862781999804321	-0.0325738283333188	0.868773111529599	0.251208139905127	0.881184553951019	0.802436469608974	0.583904230328755	0.909169426948947	0.866696708625847	0.71670704755356	0.401257511040735	0.21129050068218	0.592252064927505	0.0840482739526226	0.397714345996498	-0.107709472053065
